strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
NUCT_s_2,,0.0,82.0,1.0,82.0,0.8633333333333333,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,54.381536413758546,82.0,0.0,0.0,82.0,,,
NUCT_s_1,,82.0,164.0,1.0,82.0,1.7266666666666666,0.8633333333333333,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,55.37226026507092,83.47998882465242,0.0,82.0,164.0,,,
NUCT,,164.0,246.0,1.0,82.0,2.59,1.7266666666666666,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,56.32744507394192,84.90643188053315,0.0,164.0,246.0,,,
~NUOT_s_2-NUCT,,,,0.0,0,4.0,2.59,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NUOT_s_2,,246.0,323.0,1.0,77.0,4.443333333333333,4.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,53.73186402305047,81.02922743093826,0.0,246.0,323.0,,,
NUOT_s_1,,323.0,400.0,1.0,77.0,4.886666666666667,4.443333333333333,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,54.516507574208234,82.20165417281186,0.0,323.0,400.0,,,
NUOT,,400.0,477.0,1.0,77.0,5.33,4.886666666666667,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,55.27469152830247,83.33425724145955,0.0,400.0,477.0,,,
~NUBA_s_4-NUOT,,,,0.0,0,7.25,5.33,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NUBA_s_4,,476.9999999999999,572.3399999999999,1.0,95.34,9.32,7.25,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,67.85042554354605,106.72888275172465,0.0,476.9999999999999,572.3399999999999,,,
NUBA_s_3,,572.3399999999999,667.68,1.0,95.34,11.39,9.32,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,69.12011264659515,108.69599671434528,0.0,572.3399999999999,667.68,,,
NUBA_s_2,,667.68,763.02,1.0,95.34,13.46,11.39,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,70.33115550463434,110.57127261876273,0.0,667.68,763.02,,,
NUBA_s_1,,763.02,858.36,1.0,95.34,15.530000000000001,13.46,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,71.48626277514627,112.3590430084392,0.0,763.02,858.36,,,
NUBA,,858.36,953.7,1.0,95.34,17.6,15.530000000000001,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,72.58801800827659,114.06343183014611,0.0,858.36,953.7,,,
~NMVFO-NUBA,,,,0.0,0,22.4,17.6,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NMVFO,,953.7,1033.6,1.0,79.89999999999986,23.0,22.4,0.0,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.522,0.000698,2.9000000000000004,900.0,1.25e-06,59.052166066201465,118.34545738090324,0.0,953.7,1033.6,,,
~NMRF_s_1-NMVFO,,,,0.0,0,28.399999999999995,23.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NMRF_s_1,,1033.6,1102.0,1.0,68.40000000000009,32.8,28.399999999999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,52.43794410459139,124.01526821408837,0.0,1033.6,1102.0,,,
NMRF,,1102.0,1170.4,1.0,68.40000000000009,37.2,32.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,53.39093428965458,126.10995886577744,0.0,1102.0,1170.4,,,
~NLLFC-NMRF,,,,0.0,0,57.8,37.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NLLFC,,1170.4,1212.9,1.0,42.5,58.0,57.8,0.0,0.1,0.1,0.6,0.0,0.0,0.2,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.536,0.0007770000000000001,2.8400000000000003,900.0,1.2500000000000003e-06,33.47483899000709,69.98416442392562,0.0,1170.4,1212.9,,,
